ชื่อกลุ่ม,xxxxxxx,,,,
เกณฑ์การให้คะแนนโครงงาน (100 คะแนน),,,,,
ส่วนที่ 1: การนำเสนอและสไลด์ (30 คะแนน),,,,,
,,,,,
หัวข้อการประเมิน,ดีมาก (9-10),ดี (7-8),พอใช้ (5-6),ต้องปรับปรุง (0-4),คะแนนที่ได้ 
1.1 ความครบถ้วนของเนื้อหา (10 คะแนน),นำเสนอเนื้อหาครบถ้วนทั้ง 13 หัวข้อตามที่กำหนดอย่างชัดเจนและมีลำดับที่ดี,นำเสนอเนื้อหาเกือบครบถ้วน อาจขาดหัวข้อย่อย 1-2 หัวข้อ,นำเสนอเนื้อหาขาดไปหลายหัวข้อ และการเรียงลำดับยังสับสน,นำเสนอเนื้อหาไม่ครบถ้วนอย่างยิ่ง ขาดองค์ประกอบสำคัญจำนวนมาก,
1.2 คุณภาพการนำเสนอ (10 คะแนน),สไลด์สวยงาม อ่านง่าย สื่อสารเข้าใจง่าย ใช้เวลาเหมาะสม พูดฉะฉานและแสดงความเข้าใจในโปรเจคอย่างลึกซึ้ง,สไลด์อ่านง่าย เนื้อหาดี แต่อาจมีบางส่วนที่อธิบายเร็วหรือช้าเกินไป,สไลด์มีข้อมูลมากเกินไป หรือน้อยเกินไป การพูดติดขัดบ้าง ขาดความมั่นใจ,สไลด์ไม่น่าสนใจ อ่านยาก พูดวกวน ไม่สามารถสื่อสารให้ผู้ฟังเข้าใจได้,
1.3 การตอบคำถาม (10 คะแนน),ตอบคำถามได้ตรงประเด็น ชัดเจน แสดงให้เห็นถึงความเข้าใจในโครงงานและหลักการที่เกี่ยวข้องอย่างแท้จริง,ตอบคำถามได้ถูกต้องในภาพรวม แต่อาจมีรายละเอียดบางส่วนที่ยังไม่ชัดเจน,ตอบคำถามได้ แต่ยังมีความสับสนหรือไม่ตรงประเด็นในบางคำถาม,ไม่สามารถตอบคำถามได้ หรือตอบไม่ตรงประเด็นอย่างสิ้นเชิง,
,,,,,
ส่วนที่ 2: การพัฒนาโมเดลและการทดลอง (50 คะแนน),,,,,
,,,,,
หัวข้อการประเมิน,ดีมาก (14-15),ดี (11-13),พอใช้ (8-10),ต้องปรับปรุง (0-7),คะแนนที่ได้
